ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1336,GAZÝOSMANPAÞA,Private Dentoria Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Cumhuriyet Meydaný No:2B MERKEZ/GAZÝOSMANPAÞA,0212 614 55 55,www.dentoria.com.tr,,,,MERKEZ,41.05795299,28.91241058
1823,KÜÇÜKÇEKMECE,Diþ Hekimi Firdevs Saraç,Clinic,Hürriyet Cad. No:80 CENNET/KÜÇÜKÇEKMECE,0212 598 13 09,,,,,CENNET,40.99249956,28.77935834
1810,KAÐITHANE,Private Sena Aðýz ve Diþ Saðlýðý Polikliniði,Policlinic Private,Sultan Selim Cad. No:1 SULTAN SELÝM/KAÐITHANE,0212 283 12 55,,Yok,0,,SULTAN SELÝM,41.090911,29.00053696
1708,ÜSKÜDAR,Cumhuriyet Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Hekimoðlu Sk. No:10 CUMHURÝYET/ÜSKÜDAR,0216 520 05 20,,Yok,0,,CUMHURÝYET,41.01241506,29.08518408
1421,KADIKÖY,Ýstanbul Medeniyet Üniversitesi Göztepe Eðitim ve Araþtýrma Hospitalsi Merdivenköy Polikliniði,Policlinic,Ressam Salih Erimez Cad. No:21 MERDÝVENKÖY/KADIKÖY,0216 566 66 00,www.sbgoztepeHospitalsi.gov.tr,Yok,0,,MERDÝVENKÖY,40.98572448,29.06583905
1421,KADIKÖY,Gözüm Optik,Optik,Muvakkýthane Cad. No:21 CAFERAÐA/KADIKÖY,0216 348 62 33,,,,,CAFERAÐA,40.98991032,29.02454888
1421,KADIKÖY,Sedat Optik,Optik,General Asým Gündüz Cad. No:19 OSMANAÐA/KADIKÖY,0216 346 82 76,,,,,OSMANAÐA,40.98868503,29.02896878
1810,KAÐITHANE,Private Teknodent Diþ Protez Laboratuvarý,Diþ Laboratuvarý,Aydoðan Cad. No:24 TALATPAÞA/KAÐITHANE,0212 210 04 46,,,,,TALATPAÞA,41.06349329,28.96540864
1663,ÞÝÞLÝ,Private Ýstanbul Cerrahi Hospitalsi Fulya,Private Hospital,Ferah Sk. No:22 TEÞVÝKÝYE/ÞÝÞLÝ,0212 291 91 22,www.istanbulcerrahi.com,Var,48,Var,TEÞVÝKÝYE,41.05562822,28.99787243
1823,KÜÇÜKÇEKMECE,Tepeüstü Verem Savaþ Dispanseri,Verem Savaþ Dispanseri,Ýnönü Cad. No:86/1G YENÝ MAHALLE/KÜÇÜKÇEKMECE,0212 425 21 07,,,0,Yok,YENÝ MAHALLE,40.9975569,28.77729332
1421,KADIKÖY,Üsküdar 16 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Cenap Þahabettin Sk. No:97 KOÞUYOLU/KADIKÖY,0216 339 22 93 - 0216 545 17 19,,Yok,0,,KOÞUYOLU,41.00717795,29.03384497
2053,ESENYURT,Private Elitium Cerrahi Mecial Center Esenyurt,Mecial Center Private,Kemal Paþa Cad. No:25 ÝNÖNÜ/ESENYURT,0212 699 51 11,www.elituim.com.tr,Var,,Yok,ÝNÖNÜ,41.02345453,28.69030881
